profile,threads,iterations_per_thread,total_ops,work,mode,run,exit_code,wall_seconds,max_rss_kb,user_seconds,sys_seconds,target_elapsed_ns,bench_status,generated,consumed,dropped,loss_ppm,trace_integrity,stream_gaps,tainted_streams,total_violations
mixed,2,200000,400000,100,monitor,10,0,0.43,1792,0.54,0.52,432344210,PASS,1200004,1200004,0,0,COMPLETE,0,0,0
mixed,2,200000,400000,100,baseline,10,0,0.21,1792,0.19,0.09,209672908,PASS,,,,,,,,
mixed,4,100000,400000,100,baseline,1,0,0.23,1792,0.22,0.34,236136405,PASS,,,,,,,,
mixed,4,100000,400000,100,monitor,1,0,0.54,1920,0.77,1.02,539122222,PASS,1200008,1198605,1403,1169,DEGRADED,5,2,0
mixed,4,100000,400000,100,monitor,2,0,0.53,1792,0.7,1.06,532182320,PASS,1200008,1200008,0,0,COMPLETE,0,0,0
mixed,4,100000,400000,100,baseline,2,0,0.24,1920,0.21,0.35,243741478,PASS,,,,,,,,
mixed,4,100000,400000,100,baseline,3,0,0.24,1920,0.15,0.4,242341149,PASS,,,,,,,,
mixed,4,100000,400000,100,monitor,3,0,0.53,1792,0.74,1.01,528433218,PASS,1200008,1200008,0,0,COMPLETE,0,0,0
mixed,4,100000,400000,100,monitor,4,0,0.55,1792,0.76,1.05,550777600,PASS,1200008,1198999,1009,840,DEGRADED,8,2,0
mixed,4,100000,400000,100,baseline,4,0,0.24,1920,0.18,0.39,242784588,PASS,,,,,,,,
mixed,4,100000,400000,100,baseline,5,0,0.24,1792,0.19,0.36,236810684,PASS,,,,,,,,
mixed,4,100000,400000,100,monitor,5,0,0.52,1792,0.74,0.98,520977105,PASS,1200008,1199595,413,344,DEGRADED,3,2,0
mixed,4,100000,400000,100,monitor,6,0,0.53,1792,0.8,0.97,532326520,PASS,1200008,1200008,0,0,COMPLETE,0,0,0
mixed,4,100000,400000,100,baseline,6,0,0.25,1664,0.26,0.33,252751606,PASS,,,,,,,,
mixed,4,100000,400000,100,baseline,7,0,0.26,1792,0.25,0.33,261189460,PASS,,,,,,,,
mixed,4,100000,400000,100,monitor,7,0,0.57,1920,0.81,1.09,571240542,PASS,1200008,1198368,1640,1366,DEGRADED,3,2,0
mixed,4,100000,400000,100,monitor,8,0,0.55,1792,0.81,1.03,551752279,PASS,1200008,1199320,688,573,DEGRADED,1,1,0
mixed,4,100000,400000,100,baseline,8,0,0.25,1664,0.24,0.34,247593085,PASS,,,,,,,,
mixed,4,100000,400000,100,baseline,9,0,0.25,1664,0.19,0.4,252810783,PASS,,,,,,,,
mixed,4,100000,400000,100,monitor,9,0,0.53,1792,0.7,1.07,528315265,PASS,1200008,1197414,2594,2161,DEGRADED,2,1,0
mixed,4,100000,400000,100,monitor,10,0,0.53,1792,0.7,1.06,524352286,PASS,1200008,1200008,0,0,COMPLETE,0,0,0
mixed,4,100000,400000,100,baseline,10,0,0.25,1664,0.23,0.34,248968668,PASS,,,,,,,,
mixed,8,50000,400000,100,baseline,1,0,0.29,1920,0.35,0.92,287786885,PASS,,,,,,,,
mixed,8,50000,400000,100,monitor,1,0,0.56,1920,1.17,1.77,554016811,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
mixed,8,50000,400000,100,monitor,2,0,0.53,1920,0.95,1.82,525103221,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
mixed,8,50000,400000,100,baseline,2,0,0.27,1792,0.26,0.92,270959327,PASS,,,,,,,,
mixed,8,50000,400000,100,baseline,3,0,0.28,1792,0.33,0.9,278600124,PASS,,,,,,,,
mixed,8,50000,400000,100,monitor,3,0,0.55,1920,1.05,1.8,543546954,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
mixed,8,50000,400000,100,monitor,4,0,0.55,1920,1.07,1.78,541988075,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
mixed,8,50000,400000,100,baseline,4,0,0.28,1920,0.31,0.9,274069467,PASS,,,,,,,,
mixed,8,50000,400000,100,baseline,5,0,0.28,1792,0.34,0.89,283808628,PASS,,,,,,,,
mixed,8,50000,400000,100,monitor,5,0,0.57,1920,1.04,1.81,561579949,PASS,1200016,1199341,675,562,DEGRADED,2,1,0
mixed,8,50000,400000,100,monitor,6,0,0.56,1920,0.97,1.85,557299325,PASS,1200016,1191028,8988,7489,DEGRADED,5,5,0
mixed,8,50000,400000,100,baseline,6,0,0.28,1920,0.34,0.87,283854001,PASS,,,,,,,,
mixed,8,50000,400000,100,baseline,7,0,0.29,1792,0.23,1.05,289487394,PASS,,,,,,,,
mixed,8,50000,400000,100,monitor,7,0,0.56,1920,1.05,1.9,555724395,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
